"","ACS_GEOID_Data","dissolve_yn","DissolvedArea","vegetation_class","vegetation_comment","dissolved_centroid_250m_buffer_impervious_250_mean","dissolved_centroid_500m_buffer_impervious_500m_mean","dissolved_centroid_1km_buffer_impervious_1km_mean","dissolved_parcel_250m_buffer_impervious_250m_mean","dissolved_parcel_500m_buffer_impervious_500m_mean","dissolved_parcel_1km_buffer_impervious_1km_mean","dissolved_centroid_250m_intersections_NUMPOINTS","dissolved_centroid_500m_intersections_NUMPOINTS","dissolved_centroid_1km_intersections_NUMPOINTS","dissolved_parcel_250m_intersections_NUMPOINTS","dissolved_parcel_500m_intersections_NUMPOINTS","dissolved_parcel_1km_intersections_NUMPOINTS","PropType","DistrictName","CurrentZoning","BldgQuality_lookup","TotalApprLandVal","TotalApprImpsVal","TotalBldgGrossSqFt","TotalBldgNetSqFt","YrBuiltAvg","EffYrAvg","Proportion_ForeignBorn_B99051e5","MedianHouseholdIncome_B19013e1","SiteName","in.sample","acres","TV_mean","SMV_mean","IMP_mean"
"120","15000US530330234032","Y",272834.579681396,"MM","tho fair number of trees",59.0135746606335,54.5820895522388,43.1154727793696,58.508120649652,51.1561014263075,41.4100872024511,17,35,126,21,57,130,"C","BELLEVUE","OLB",NA,11185800,11184200,117989,85482,1987,2002,0.314332247557003,70568,NA,"N",6.26428194948485,0.142537107902186,0.233040001478245,0.504007539048098
"121","15000US530330234032","N",159099.641876221,"MD","original",57.7090909090909,51.5322580645161,42.8356242840779,55.3611859838275,49.7753872633391,41.6198815984213,10,22,127,13,45,131,"C","BELLEVUE","OLB","AVERAGE/GOOD",6541700,8188300,66400,65843,1982,2000,0.314332247557003,70568,"DE","Y",3.65292777747803,0.15680545759336,0.24159579938107,0.481969221711863
"122","15000US530330234013","N",153506.200439453,"MD","",59.3090909090909,50.9230769230769,45.621668099742,56.7368421052632,50.7681518151815,44.0161329159644,0,33,148,6,49,150,"C","BELLEVUE","O","AVERAGE/GOOD",0,0,99427,65843,1999,1999,0.406282722513089,75273,"EG","Y",3.52450236208984,0.157419651636659,0.232148142853346,0.490861121115232
"123","15000US530330234013","N",138543.479003906,"MM","original",53.8045454545455,50.3699885452463,46.5813019787783,53.8965517241379,50.6398985629755,44.7844047910046,0,30,148,6,52,152,"C","BELLEVUE","O","AVERAGE",5523400,3461100,49300,49176,1984,1989,0.406282722513089,75273,NA,"N",3.18095827792968,0.172491230185494,0.221891378641216,0.488534244665579
"124","15000US530330234013","N",607541.02645874,"HH","original",51.8302752293578,53.152,48.7575322812052,52.1974723538705,52.7783221065524,44.5619298601257,0,48,151,38,121,152,"C","BELLEVUE","O","GOOD",24450600,25281400,364617,270973,1984.25,1986.5,0.406282722513089,75273,NA,"N",13.9491419674927,0.153683532530915,0.20974981037988,0.519499893104636
"125","15000US530330234032","N",367879.977935791,"LL","original",69.6990740740741,60.9712973593571,44.3837775867011,67.9846827133479,56.980959634425,42.98730964467,8,63,144,45,104,148,"C","BELLEVUE","OLB","GOOD/EXCELLENT",14915400,24784300,145527,141590,1987.5,2000,0.314332247557003,70568,NA,"N",8.44652429340576,0.107135056979888,0.208453611040097,0.563916349359262
"126","15000US530330234032","N",169181.461975098,"LL","original",67.0550458715596,59.5570776255708,44.5505166475316,64.6233421750663,55.0737913486005,43.3572481572482,3,52,147,22,60,148,"C","BELLEVUE","OLB","AVERAGE/GOOD",6967900,6745000,69731,66827,1985,1989,0.314332247557003,70568,"I2","Y",3.88440636694825,0.11743332916463,0.222276225883102,0.541139420398604
"127","15000US530330323134","N",9968.88153076172,"XX","couldn't find?",62.6359447004608,60.647465437788,46.4964173115506,64.1022727272727,60.1995798319328,45.7894593118514,7,21,39,7,21,39,"C","REDMOND","BP","AVERAGE/GOOD",327700,1109300,10421,9004,1984,1990,0.563188253801783,80750,NA,"N",0.228885519946289,0.068396333426018,0.19885428288556,0.574082454868774
"128","15000US530330323134","N",229916.220550537,"HH","original",62.1415525114155,60.1449771689498,44.6518369690011,64.2052505966587,59.0658105939005,42.3890073442312,0,21,32,7,21,44,"C","REDMOND","BP","AVERAGE",3147900,12546200,160510,101252,2008,2009,0.563188253801783,80750,"MM","Y",5.27887642384033,0.074239358499841,0.21192963019696,0.562836415322193
"129","15000US530330228031","N",194842.425933838,"MM","Adjacent to parking lot with trees",75.3045454545454,62.0767468499427,47.991981672394,71.8545918367347,59.344193817878,45.623026475589,4,13,43,10,19,43,"C","REDMOND","OBAT","AVERAGE",6238300,9186100,120000,118500,1984,1990,0.86139896373057,134643,NA,"N",4.47358209944092,0.118628922857657,0.298160379021677,0.455786371624593
"130","15000US530330228031","N",335105.191131592,"MM","original",72.8597285067873,56.9919908466819,46.1247490679667,65.5652173913043,52.2277904328018,44.7869344413666,0,11,37,3,13,49,"C","REDMOND","OBAT","AVERAGE",10627200,15403700,170470,146255,1981,1990,0.86139896373057,134643,NA,"N",7.69401518838135,0.155706073033404,0.312967794109685,0.407424137837691
"131","15000US530330228031","N",178011.759216309,"MM","original",75.4485981308411,71.0664375715922,58.08746773731,75.1395348837209,68.4340567612688,54.9041129228523,0,16,40,11,24,41,"C","REDMOND","OBAT","AVERAGE/GOOD",5696300,31623300,275715,199423,1995,1995,0.86139896373057,134643,NA,"N",4.08714999160645,0.089517508435722,0.247049595887434,0.558607047394859
"132","15000US530330228031","N",199435.960571289,"MM","",66.9170506912442,66.9988584474886,49.9506314580941,67.280303030303,64.0863070539419,47.9214216634429,0,10,47,0,14,51,"C","REDMOND","OBAT","GOOD",6379700,6079500,97258,71411,1978,1990,0.86139896373057,134643,NA,"N",4.5790496547168,0.132645591909358,0.246176397378101,0.503258013662638
"133","15000US530330228031","N",312785.671783447,"MD","original",70.4181818181818,65.0011467889908,58.4630795649685,68.4752252252252,64.4555297757154,56.317556539986,14,16,40,16,20,40,"C","REDMOND","OBAT","AVERAGE/GOOD",9831600,32518700,237789,227479,2001,2001,0.86139896373057,134643,NA,"N",7.18155902414794,0.087000961689535,0.284021278028416,0.531794457422361
"134","15000US530330228031","N",343989.290985107,"MM","",73.1447963800905,72.5592635212888,57.4361915686837,75.484,70.6903735632184,53.7067618835081,2,24,41,12,25,45,"C","REDMOND","OBAT","AVERAGE/GOOD",11052500,21421000,185391,177335,1990,1990,0.86139896373057,134643,NA,"N",7.89799412101806,0.072742396672732,0.263546019875627,0.560594269260763
"135","15000US530330228031","N",60361.5919189453,"MM","original",75.85,71.4712643678161,60.8237317282889,75.8006535947712,70.6279961649089,59.2494117647059,8,18,40,9,24,40,"C","REDMOND","OBAT","AVERAGE/GOOD",1981800,1351200,19194,18113,1985,1990,0.86139896373057,134643,NA,"N",1.38590215045898,0.064692120352082,0.264605612765622,0.573930960127673
"136","15000US530330228031","N",441121.561157227,"MD","original",75.0228310502283,72.3915525114155,51.2210435779817,74.2734693877551,66.9304347826087,48.5527852650494,3,12,45,5,27,45,"C","REDMOND","OBAT","GOOD",13913500,34672500,558897,449985,2009,2009,0.86139896373057,134643,NA,"N",10.1281510441699,0.091317988503099,0.262492633559925,0.521177757352495
"137","15000US530330228031","N",182223.999359131,"MM","original",71.2995391705069,71.8605714285714,56.1217690982194,72.5026315789474,70.2226926333616,53.1763409257899,0,17,41,11,24,41,"C","REDMOND","OBAT","AVERAGE",5831000,12900,58293,58293,1973,1980,0.86139896373057,134643,NA,"N",4.18386302528565,0.084254128035985,0.249727811453393,0.556606741234399
"138","15000US530330228031","N",109579.427947998,"MC","trees in E adjacent lot",68.5981735159817,63,48.354441260745,69.4738372093023,61.6018099547511,47.0569331983806,0,10,49,0,13,51,"C","REDMOND","OBAT","AVERAGE",3506500,1000,13840,13840,1977,1977,0.86139896373057,134643,"PS","Y",2.51594366568603,0.150898421151412,0.245929429051175,0.483369949987906
"139","15000US530330228011","N",28094.1509399414,"MM","site dominated by building",57.9403669724771,58.3524027459954,48.3901177822465,57.7625899280576,57.9088145896657,47.7197417966649,6,6,41,6,6,41,"C","BELLEVUE","R-20","GOOD",505400,1701100,13597,10348,1984,1990,0.620359739762725,89612,NA,"N",0.645041705581055,0.167047247060199,0.253069659141631,0.448035879118223
"140","15000US530330236012","N",11491.4726867676,"MM","",75.3708920187793,71.0240274599542,63.045871559633,74.47265625,70.5815677966102,62.7997252747253,10,21,106,10,21,108,"C","BELLEVUE","O","AVERAGE",673800,1000,2498,2100,1950,1977,0.52992700729927,57625,NA,"N",0.263844212888184,0.053137345164336,0.185692409588185,0.63634463353798
"141","15000US530330236012","N",11524.8152770996,"MM","",70.1772727272727,68.4713302752294,61.737747205503,70.1284046692607,68.4376321353066,61.5330214639516,16,21,95,16,21,98,"C","BELLEVUE","O","GOOD",701200,1000,6776,3098,1979,1989,0.52992700729927,57625,NA,"N",0.264609758762207,0.057392837398307,0.196006117708371,0.617538760941038
"142","15000US530330236012","N",10982.2682189941,"MM","",66.6392694063927,67.1219792865362,60.8755008586148,67.10546875,66.8987341772152,60.7481440747869,16,21,74,16,21,74,"C","BELLEVUE","PO","AVERAGE",678700,1000,2346,2100,1955,1960,0.52992700729927,57625,NA,"N",0.252152878308105,0.061591414551488,0.201946317412127,0.604350384203528
"143","15000US530330236031","N",115811.860595703,"MM","",53.2727272727273,54.2514351320321,56.09375,52.7931034482759,54.6741472172352,55.6666666666667,2,3,28,2,3,31,"K","BELLEVUE","BR-ORT","GOOD",0,0,23422,17890,1988,1988,0.436459246275197,80962,NA,"N",2.65904031927734,0.159928850091927,0.249323627449515,0.473597305471268
"144","15000US530330240001","N",109010.757598877,"MM","WEEDY",65.0232558139535,51.3825887743414,41.8354357798165,62.3352601156069,48.7651785714286,40.8427419354839,1,28,68,4,29,78,"C","BELLEVUE","OLB","AVERAGE",3317000,1000,30255,28233,1969,1975,0.282201405152225,103287,NA,"N",2.50288699447022,0.235363333087988,0.306494222119663,0.373669416522609
"145","15000US530330240001","N",414187.587280273,"LL","maples",42.963133640553,46.1622857142857,42.5583596214511,45.5031578947368,46.2853949329359,41.8417692658459,1,13,71,8,33,79,"C","BELLEVUE","OLB","GOOD",15398400,23419400,240320,135002,1985.5,1991.75,0.282201405152225,103287,NA,"N",9.50974700395507,0.192082180642074,0.36921504933836,0.338187816153438
"146","15000US530330240001","N",18886.7849121094,"MM","",60.0321100917431,53.1208285385501,44.9622101345548,58.6556776556777,52.4435318275154,45.0021668472373,8,12,42,8,12,43,"C","BELLEVUE","OLB","AVERAGE/GOOD",565800,772000,6250,6250,1976,1985,0.282201405152225,103287,NA,"N",0.433640581582032,0.20436934482625,0.305981803135551,0.393676464218381
"147","15000US530330240001","N",42376.5507202148,"LP","",61.3881278538813,52.1177829099307,42.4753581661891,59.7658862876254,50.1545189504373,41.7151915455746,1,14,59,1,23,69,"C","BELLEVUE","OLB","AVERAGE",1312500,277200,7311,7311,1972,1979,0.282201405152225,103287,NA,"N",0.972965604536132,0.225626031555437,0.302294103431348,0.382203548713258
"148","15000US530330237003","N",74642.8978271484,"MM","",63.8623853211009,52.4284077892325,41.3098510882016,61.4792899408284,49.8849637681159,40.4001015486164,1,22,65,1,29,78,"C","BELLEVUE","OLB","AVERAGE/GOOD",1553900,7053700,48150,32100,2000,2000,0.145833333333333,66736,NA,"N",1.71380093411133,0.233018329422211,0.293773110605736,0.384633970287551
"149","15000US530330240001","N",119872.253326416,"MM","original",66.7522935779816,48.9827586206897,40.7095388140934,63.5,48.7834960070985,39.3625407983932,4,24,73,15,32,80,"C","BELLEVUE","OLB","AVERAGE",3746300,3632900,44419,44419,1979,1985,0.282201405152225,103287,NA,"N",2.75226693637451,0.223300549937281,0.321538405447936,0.371702815115244
"150","15000US530330237003","Y",186512.811309814,"MM","original",52.9954128440367,49.9611872146119,37.3919151376147,50.7682291666667,50.8397651006711,35.5243427458617,15,29,76,23,29,77,"C","BELLEVUE","O","AVERAGE",3969700,11499500,126800,84195,1983.5,1990,0.145833333333333,66736,NA,"N",4.28233414767333,0.189441411171777,0.333305333893322,0.390489523542862
"151","15000US530330237003","N",312841.15447998,"LL","original",46.0648148148148,52.7327981651376,37.6565279770445,49.820618556701,49.0917698470503,36.345851135597,0,28,72,6,32,80,"C","BELLEVUE","LI","AVERAGE",5953000,10654500,95102,92300,1988,1990,0.145833333333333,66736,NA,"N",7.18283290686034,0.207084903748734,0.316641945288754,0.382271935157042
"152","15000US530330240001","Y",372923.86819458,"LL","original",44.1308411214953,46.2405498281787,41.0406993407853,46.9360902255639,44.5390946502058,39.2026441265713,8,27,78,15,50,81,"C","BELLEVUE","OLB","GOOD",12857000,22250900,197819,134029,1982.66666666667,1991.33333333333,0.282201405152225,103287,NA,"N",8.56233201374756,0.183366553292128,0.392024466956808,0.32795870972461
"153","15000US530330237003","N",60253.2571411133,"MC","",42.8644859813084,39.2731428571429,35.2650014355441,39.7350157728707,39.6654099905749,34.504401864319,1,23,68,4,45,68,"C","BELLEVUE","O","AVERAGE",1191500,866800,12575,10933,1980,1985,0.145833333333333,66736,NA,"N",1.38341478395996,0.25951155076822,0.373916019723862,0.283884817838979
"154","15000US530330240001","N",146211.404876709,"MM","original",56.2739726027397,48.7442660550459,36.8390146089946,55.5951742627346,46.26735218509,35.3684985279686,21,60,67,42,67,72,"C","BELLEVUE","O","AVERAGE",4331400,5596100,97200,55839,1981,1990,0.282201405152225,103287,NA,"N",3.35701385596924,0.192548837465533,0.386107335569214,0.335206382043048
